Source,Restaurant Name,Author,Rating,Time,Review
Google,Lassiwala Dhaba,Ajith M.A,"Rated 3.0 out of 5,",a month ago,"I ordered thru zomato. The taste was good but the packing was terrible. It was not sealed properly. So most of the gravies got spilled inside the carry bag, all over my floor 😐 and everything got mixed up."
Google,Lassiwala Dhaba,Aisha Sithika,"Rated 5.0 out of 5,",7 months ago,"Had my food delivered from this place.The food was really delicious and quantity was good too for the price offered.The packaging was neat and clean,with no spillage ensured.I had ordered veg punjabi delight thali for a price of ₹297 through zomato.It included:2 phulka1 aloo paratha1 lassiKadhi pakoda(2 pakodas)Paneer butter masala(2 paneer pieces)Dal makhniSaladMix vegYellow dal fryMatar pulao1 gulag jamun"
Google,Lassiwala Dhaba,Hari Narayanan,"Rated 5.0 out of 5,",a year ago,The place is located inside from main road. The dine in ambience was very good.We ordered Veg and Paneer Biriyani.. the taste was really good. Onion Raitha was really tasty and it looked like mayonnaise.I am not sure whether dine in has started but I am including the menu card. You can surely give them a try and you will not be disappointed.
Google,Lassiwala Dhaba,ajai surviving,"Rated 5.0 out of 5,",4 months ago,Food was great. No doubt about.I requested for dine in over phone call.I liked their food when I ordered on swiggy. Just wanted to try it directly. It was awesome.Actually they are not open completely  for dine in. For now Maybe they can accommodate few during their free hours as they are super busy with online orders.When they are open fully for dine in its going to be a super evening spot for ppl.Happy that we were there.
Google,Lassiwala Dhaba,Harini Nagarajan,"Rated 4.0 out of 5,",3 months ago,Have ordered many times. Never let down on quantity. Quality is good too. Especially veg thalis and a few veg gravies are good.Phulkas sometimes have a grainy texture - it will be good if the store looks into this especially the flour that is used.
Google,Lassiwala Dhaba,Mahendra Raj k,"Rated 1.0 out of 5,",3 weeks ago,"I don't recommend dining in since very poor late table service as they focus on serving Zomato and swiggy orders. And for the first time in my life I had a watery bhaji(poured from a drum..not from tava) in pav bhaji and chicken gravy. Only Breads(Pulkha, Paratha) are good. Don't decide by rating!"
Google,Lassiwala Dhaba,Indiran K,"Rated 5.0 out of 5,",2 months ago,"Food is good, tasty and enough quantity. Quality is good. I like their North Indian Thali. Fried rice is also good. Biryani is not traditional biriyani but sort of Fried rice version with Biryani masala, though the taste is okay. Price is normal."
Google,Lassiwala Dhaba,Vishal Haridoss,"Rated 1.0 out of 5,",3 months ago,"I ordered through Swiggy. Paratha, phulka and a combo. Combo was good. But size of my Paratha and phulka was so small. It was smaller than my hand. I called the owner to complaint. He told me ""the size is standard for all. But as you have complained, i can give you two phulka extra next time"". I paid 25 rupees for the butter phulka. 25 RUPEES. When I said this, he told me that other shops will have bigger size because they charge you 50 60 rupees for you on that. FYI I have got a good size of phulka in different restaurant for 30 rupees. He did not want to do anything for this order. He insisted me not to give one star rating because as he is giving complement on my next order. Bad luck with his negotiation. I rate 1 star. YOU LOST A GOOD CUSTOMER."
Google,Lassiwala Dhaba,Raja Barani,"Rated 4.0 out of 5,",a month ago,Good thing is the place simple and taste is appreciableEven though intially they said short of man power  they couldn't  serve but aftersometime they did serve .Pricing vs content is not less or not more .  Little more content would be  better
Google,Lassiwala Dhaba,BHARATHI. S,"Rated 4.0 out of 5,",11 months ago,I had paneer tikka here.....it was so good....all those roti varieties were also good....
